Unnamed: 0,dcode,dname,extracted,ingd_code,merged_contents,권장,주의,권장영양소,권장식재료,주의영양소,주의식재료
24,2.02E+12,가나플럭스정20/1100mg,가나플럭스정,I002684,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B  칼슘 ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
24,2.02E+12,가나플럭스정20/1100mg,가나플럭스정,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
45,A11A3100A0067,가네카정,가네카정,I003385,카페인 주의,,카페인 ,,,카페인,
79,2.02E+12,가두에정5/10mg,가두에정,I012151,자몽주스 주의,,자몽 ,,,,자몽
82,2.02E+12,가드메트정100/1000mg,가드메트정,I002178,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의 비타민 B ",비타민B ,"탄수화물, 아스파라거스, 천연 이뇨제 ",비타민B,,탄수화물,"아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
87,A11A5070A0028,가딘정,가딘정,I003478,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
89,A11A5070A0025,가딘주,가딘주,I003478,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
195,A11AKP08D0247,가브스메트정50/1000mg,가브스메트정,I002178,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의 비타민 B ",비타민B ,"탄수화물, 아스파라거스, 천연 이뇨제 ",비타민B,,탄수화물,"아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
199,2.02E+12,가블리메트정,가블리메트정,I002178,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의 비타민 B ",비타민B ,"탄수화물, 아스파라거스, 천연 이뇨제 ",비타민B,,탄수화물,"아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
251,A11AJJJJJ0138,가스터디정20mg,가스터디정,I001401,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
252,2.02E+12,가스터주사액20mg,가스터주사액,I001401,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
267,2.02E+12,가스티딘정150mg,가스티딘정,I003478,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
273,2.02E+12,가스파모정20mg,가스파모정,I001401,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
293,A11AMMMMM1488,가제트정,가제트정,I003478,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
298,2.02E+12,가티딘정20mg,가티딘정,I001401,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
299,2.02E+12,가티스정,가티스정,I003478,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
315,A11APPPPP1623,건위황정,건위황정,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
319,A11APPPPP1225,경남그린웰연질캡슐,경남그린웰연질캡슐,I005713,지방 ,지방 ,,지방,,,
334,2.02E+12,골드타민에프연질캡슐,골드타민에프연질캡슐,I005713,지방 ,지방 ,,지방,,,
335,A11AKP08F0328,골드타민연질캡슐,골드타민연질캡슐,I005713,지방 ,지방 ,,지방,,,
344,A11APPPPP0838,국제에이스큐텐연질캡슐,국제에이스큐텐연질캡슐,I005713,지방 ,지방 ,,지방,,,
347,2.02E+12,굿모닝에이스정,굿모닝에이스정,I001081,섬유질 ,섬유질 ,,섬유질,,,
352,2.02E+12,그루시가정10/4mg,그루시가정,I001710,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의",,"탄수화물,녹차, 아스파라거스, 천연 이뇨제 ",,,탄수화물,"녹차, 아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
362,2.02E+12,그린휴정,그린휴정,I001081,섬유질 ,섬유질 ,,섬유질,,,
364,2.01E+12,글로큐텐연질캡슐,글로큐텐연질캡슐,I005713,지방 ,지방 ,,지방,,,
371,2.02E+12,기가치올플러스액,기가치올플러스액,I002817,비타민 C 주의,,비타민C ,,,비타민C,
377,at31p3zmc52lw,나노펜정,나노펜정,I002817,비타민 C 주의,,비타민C ,,,비타민C,
382,2.02E+12,나인나인정,나인나인정,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
387,A11A5060A0018,네가펜캡슐(수출용),네가펜캡슐,I002817,비타민 C 주의,,비타민C ,,,비타민C,
397,2.02E+12,네일락콤비정,네일락콤비정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
406,2.02E+12,노루모에스산,노루모에스산,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
407,A11ACCCCC0217,노루모에이산(수출용),노루모에이산,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
