,dcode,dname
0,A11A1110B0099,뉴사달정100mg(수출용)
1,A11A1110A0100,뉴사달정400mg
2,2015060300198,닉존헤모로이달크림(수출용)
3,2018120300021,달라트정12.5mg
4,2018120300020,달라트정25mg
5,A11ABBBBB0614,달마돔정
6,A11A1750A0051,달마정(보증익기탕엑스정)
7,A11A0200A0373,달톤연질캅셀(수출용)
8,2020042800008,리스달정0.5mg
9,2017103000003,리스달정1mg
10,2017103000004,리스달정2mg
11,2017103000002,리스달정3mg
12,2021032900023,리스페달정0.5mg
13,2021032900022,리스페달정1mg
14,2021032900021,리스페달정2mg
15,2021032900020,리스페달정3mg
16,A11AKKKKK0033,리스페달콘스타주사25mg
17,A11AKKKKK0034,리스페달콘스타주사37.5mg
18,2020042700021,리페리달정0.5mg
19,2020060100006,리페리달정1mg
20,2020060100007,리페리달정2mg
21,2020042700020,리페리달정3mg
22,2020052100002,브로달정
23,2022111100001,셀트리온유플라이마펜주40mg/0.4mL
24,A11AOOOOO1002,소아용에보프림연질캡슐
25,A11A1380A0076,아달라트연질캡슐5mg
26,A11ABBBBB0531,아달라트오로스정30
27,A11ABBBBB0532,아달라트오로스정60
28,2023010400003,아달로체펜주40mg/0.4mL
29,2017092100002,아달로체프리필드시린지주40mg
30,2023010400004,아달로체프리필드시린지주40mg/0.4mL
31,2020070600005,아달로체프리필드펜주40mg
32,2013052800008,아모시달듀오시럽(7:1)
33,2014050700034,아모시달정375mg
34,2014050700033,아모시달정625mg
35,2015120100018,아스트로달캡슐100mg
36,2015120100017,아스트로달캡슐20mg
37,A11ABBBBB0113,에보프림연질캡슐
38,2021101800006,유플라이마펜주40mg/0.4mL
39,2022061600009,유플라이마펜주80mg/0.8mL
40,2021101800005,유플라이마프리필드시린지주40mg/0.4mL
41,2022061600008,유플라이마프리필드시린지주80mg/0.8mL
42,2017052900007,이달비정20mg
43,2017052900009,이달비정40mg
44,2017052900008,이달비정80mg
45,2018080700009,이달비클로정40/12.5mg
46,2018080700010,이달비클로정40/25mg
47,2009071504274,케로달캡슐(수출용)
48,A11A2340A0184,키신달정(수출용)
49,A11ADDDDD0454,테모달캡슐100mg
50,A11ADDDDD0455,테모달캡슐20mg
51,A11ADDDDD0456,테모달캡슐250mg
52,A11ADDDDD0457,테모달캡슐5mg
53,2009071503188,패밀리케어헤모로이달쿨링겔(수출용)
54,2014022500005,푸레파레숀에이치헤모로이달크림(수출용)
55,A11ACCCCC0304,프라그민주0.2mL
56,A11ACCCCC0314,프라그민주10000IU/mL
57,2018032600036,프라그민주25000IU/mL(0.3mL)
58,A11ACCCCC0315,프라그민주25000IU/mL(0.4mL)
59,A11ACCCCC0313,프라그민주4mL
60,2013082200007,프레스토헤모로이달연고(수출용)
61,2017081600002,헤모로이달릴리프크림(수출용)
62,2017101100078,헤모로이달릴리프플러스크림(수출용)
