질병명,권장식재료,권장영양소,주의식재료,주의영양소
항문암,"두부, 계란, 두유, 사과, 복숭아, 배, 갈치, 고등어, 참치","단백질, 비타민, 무기질, 파이토케미컬, 섬유소","파, 마늘, 양파, 계란, 치즈, 햄, 소시지, 베이컨, 소고기, 돼지고기",
신증후군,"돼지고기,쇠고기,닭고기, 계란, 두부, 빵, 떡, 참기름, 들기름, 올리브유, 올리브오일, 견과류, 갈치, 고등어, 참치",불포화지방산,"갈비, 삼겹살, 치킨","나트륨, 포화지방산, 트랜스지방산"
만성 콩팥병(만성 신장병),"설탕, 식초, 고춧가루, 참기름, 빵, 떡, 갈치, 고등어, 참치",,"계란, 두부, 닭고기, 쇠고기, 돼지고기, 김치, 장, 햄, 소시지, 치즈, 시금치, 상추, 단호박, 샐러리, 쑥, 바나나, 토마토, 키위, 고구마, 감자, 밤, 옥수수, 콩, 어묵, 멸치, 우유, 견과류","단백질, 나트륨, 칼륨, 인"
급성 췌장염,"두부, 갈치, 고등어, 참치","비타민, 무기질",,"지방, 단백질"
담석증,"견과류, 들기름, 올리브유, 올리브오일, 샐러리, 사과, 복숭아, 배, 갈치, 고등어, 참치","불포화지방, 섬유소","돼지고기,쇠고기,닭고기,버터","포화지방, 트랜스지방"
대장직장암,"닭고기, 오리고기, 계란, 두부, 콩, 샐러리, 우유, 두유","단백질, 섬유소, 칼슘","콩나물, 도라지, 고사리, 옥수수, 견과류, 파, 마늘, 양파, 탄산수, 라면, 김치, 빵, 햄, 소시지, 베이컨",당
쿠싱증후군,"채소, 우유, 두유, 두부, 갈치, 고등어, 참치","단백질, 칼슘","햄, 소시지, 베이컨, 소금",나트륨
갑상선질환,"햄, 계란, 치킨, 샐러리, 견과류, 우유, 두유, 콩, 두부, 닭고기, 오리고기, 갈치, 고등어, 참치","단백질, 열량, 칼슘, 인, 비타민 D","김, 다시마, 미역",요오드
구내염,"감자, 연두부, 생수, 채소, 사과, 복숭아, 배, 쇠고기, 닭고기, 돼지고기, 계란, 우유, 두유","철분, 엽산, 비타민 B, 무기질","커피, 레몬, 고추가루, 고춧가루, 소금",
위-식도역류병,"우유, 요거트, 계란, 갈치, 고등어, 참치",단백질,"생강, 초콜릿",지방
뇌졸중,"채소, 사과, 복숭아, 배",칼륨,,"염분, 지방, 포화지방산"
식사성 칼슘 결핍,"우유, 치즈, 요거트, 멸치, 두부, 계란, 갈치, 고등어, 참치","칼슘, 비타민 D","소금, 커피, 코코아","염분, 지방, 포화지방산"
뇌경색,"바나나, 토마토, 시금치, 호박, 딸기, 채소, 사과, 복숭아, 배, 견과류, 참기름, 식용유","칼륨, 무기질, 섬유소","소금, 장, 김치, 햄, 소시지, 베이컨, 버터, 빵, 삼겹살, 라면","나트륨, 염분, 지방, 포화지방산, 당분"
백혈병,"감자, 고구마, 국수, 밥, 쇠고기, 돼지고기, 닭고기, 갈치, 고등어, 참치, 두부, 계란, 채소, 우유, 두유, 사과, 복숭아, 배","단백질, 열량, 무기질, 비타민",,
난소암,"쇠고기, 닭고기, 돼지고기, 콩, 두부, 계란, 채소, 사과, 복숭아, 배, 갈치, 고등어, 참치","단백질, 비타민, 무기질","콩, 마늘, 양파, 탄산수, 양배추",
자궁경부암,"쇠고기, 돼지고기, 닭고기 콩, 두부, 계란, 채소, 사과, 복숭아, 배, 갈치, 고등어, 참치","단백질, 비타민, 무기질","커피, 코코아, 우유, 두유",
티아민(비타민 B1) 결핍,"돼지고기, 콩, 현미, 밤, 감자",티아민,,"단백질, 인, 칼륨, 나트륨"
췌장암,"쇠고기, 닭고기, 돼지고기, 갈치, 고등어, 참치, 콩, 두부, 계란, 채소, 사과, 복숭아, 배",단백질,,"지방, 칼로리"
위암,"닭고기, 갈치, 고등어, 참치, 콩, 두부, 계란, 채소, 사과, 복숭아, 배, 우유, 두유, 소고기, 돼지고기, 조개, 치즈, 멸치, 굴","단백질, 칼슘, 철분, 비타민 B12, 비타민 C","소금, 고추가루, 고춧가루, 햄, 소시지, 베이컨",
