,sunb_name,contents_origin,ingd_code
0,노르플록사신(Norfloxacin),식사와 관계없이 복용할 수 있어요. ,I002619
1,노르플록사신(Norfloxacin),이 약을 복용하는 동안 충분한 수분섭취를 유지하세요.,I002619
2,노르플록사신(Norfloxacin),"이 약을 우유 및 유제품, 칼슘 강화 주스와 단독으로 복용하지 마세요. 칼슘이 이 약의 흡수를 방해하여 약효를 떨어뜨릴 수 있어요.",I002619
3,노르플록사신(Norfloxacin),"마그네슘, 철분, 아연 또는 칼슘 함유 보충제 복용시 이 약 복용 최소 3시간 이전 또는 2시간 이후에 복용하세요.",I002619
4,노르플록사신(Norfloxacin),마그네슘 또는 알루미늄 함유 제산제를 복용시 이 약 복용 최소 3시간 이전 또는 2시간 이후에 복용하세요.,I002619
5,노르플록사신(Norfloxacin),"{{카페인}} 복용시 주의하세요. 이 약의 중추신경계 부작용(신경과민, 불안, 불면)이 심해질 수 있어요.",I002619
6,페닐레프린염산염(Phenylephrine Hydrochloride),,I002987
7,프라목신염산염(Pramoxine Hydrochloride),,I006489
8,카르베딜롤(Carvedilol),식사와 함께 복용하면 이 약의 흡수 속도가 조절되어 혈압이 지나치게 낮아지는 것을 막을 수 있어요.,I000367
9,카르베딜롤(Carvedilol),음주를 삼가세요. 음주시 이 약의 부작용(심장박동과 호흡의 느려짐 등)이 심해질 수 있어요.,I000367
10,플루라제팜염산염(Flurazepam Hydrochloride),,I001570
11,감초(Licorice),,I001885
12,건강(Ginger),,I001696
13,당귀(Angelica Gigas Root),,I004272
14,대추(Jujube),,I006323
15,백출(Atractylodes Rhizome White),,I006080
16,승마(Cimicifuga Rhizome),,I004698
17,시호(Bupleurum Root),,I006111
18,인삼(Ginseng),,I001699
19,진피(Citrus Unshiu Peel),,I006157
20,황기(Astragalus Root),,I006077
21,마늘유(Garlic Oil),,I007905
22,멜리사엽(Melissa Leaf),,I002097
23,산사(Hawthorn Fruit),,I000679
24,은행엽(Ginkgo Leaf),,I001697
25,리스페리돈(Risperidone),식사와 관계없이 복용할 수 있어요.,I003553
26,리스페리돈(Risperidone),음주를 삼가세요. 진정작용이 심해질 수 있어요.,I003553
27,디펜히드라민염산염(Diphenhydramine Hydrochloride),이 약을 복용하면서 알코올을 섭취하면 졸음이 심해질 수 있어요. 음주를 삼가세요.,I001019
28,디펜히드라민염산염(Diphenhydramine Hydrochloride),이 약을 복용하는 동안 입이 마를 수 있어요. 충분한 물을 자주 섭취하세요.,I001019
29,디펜히드라민염산염(Diphenhydramine Hydrochloride),위장장애가 생기면 음식과 함께 복용하세요.,I001019
30,브로멜라인(Bromelain),,I000107
31,카페인무수물(Caffeine Anhydrous),철분의 흡수를 감소시킬 수 있어요. 철분보충제와 2시간 이상의 시간간격을 두고 복용하세요. ,I000211
32,아달리무맙(Adalimumab),,I005918
33,달맞이꽃종자유(Evening Primrose Oil),,I001385
34,니페디핀(Nifedipine),이 약의 투여기간 동안 다량의 자몽주스 섭취를 피하세요. 이 약의 혈압강하효과가 불규칙하게 증강될 수 있어요.,I002549
35,니페디핀(Nifedipine),음주를 삼가세요. 어지러움증이 심해질 수 있어요.,I002549
36,니페디핀(Nifedipine),자몽주스 섭취를 피하세요.,I002549
37,아목시실린수화물(Amoxicillin Hydrate),,I004240
38,클라불란산칼륨(Clavulanate Potassium),"위장장애를 줄이고 적절한 약의 흡수를 위해 식사 초기에 복용하세요. 단, 고지방식이와 같이 복용하면 클라불린산의 흡수를 떨어뜨릴 수 있으므로 피하세요.",I003203
39,테모졸로미드(Temozolomide),공복시 복용 또는 식후 복용을 일관되게 하세요. 음식물이 이 약의 흡수에 영향을 미칠 수 있어요. 절식 상태에서 복용하면 약의 흡수가 용이해요. ,I005326
40,아질사르탄메독소밀칼륨(Azilsartan Medoxomil Potassium),,I012805
41,클로르탈리돈(Chlorthalidone),칼슘보충제나 비타민 D 보충제를 복용하기 전에 반드시 전문가와 상의하세요(고칼슘혈증 가능성). ,I004632
42,클로르탈리돈(Chlorthalidone),음주를 삼가세요.,I004632
43,티모모둘린(Thymomodulin),,I007636
44,페플록사신메실산염수화물(Pefloxacin Mesilate Hydrate),,I002854
45,하마멜리스(Hamamelis),,I001822
46,글리세린(Glycerin),,I001734
47,백색바셀린(White Petrolatum),,I005822
48,달테파린나트륨(Dalteparin Sodium),,I000755
49,유동파라핀(Liquid Paraffin),,I001884
50,황색바셀린(Yellow Petrolatum),,I006452
51,디부카인(Dibucaine),,I007938
52,트록세루틴(Troxerutin),,I005686
