dcode,dname,extracted,ingd_code,merged_contents,권장,주의,권장영양소,권장식재료,주의영양소,주의식재료
A11A1110B0099,뉴사달정100mg(수출용),뉴사달정,I002619,카페인 주의,,카페인 ,,,카페인,
A11A1110A0100,뉴사달정400mg,,,,,,,,,
2015060300198,닉존헤모로이달크림(수출용),,,,,,,,,
2018120300021,달라트정12.5mg,,,,,,,,,
2018120300020,달라트정25mg,,,,,,,,,
A11ABBBBB0614,달마돔정,,,,,,,,,
A11A1750A0051,달마정(보증익기탕엑스정),,,,,,,,,
A11A0200A0373,달톤연질캅셀(수출용),,,,,,,,,
2020042800008,리스달정0.5mg,,,,,,,,,
2017103000003,리스달정1mg,,,,,,,,,
2017103000004,리스달정2mg,,,,,,,,,
2017103000002,리스달정3mg,,,,,,,,,
2021032900023,리스페달정0.5mg,,,,,,,,,
2021032900022,리스페달정1mg,,,,,,,,,
2021032900021,리스페달정2mg,,,,,,,,,
2021032900020,리스페달정3mg,,,,,,,,,
A11AKKKKK0033,리스페달콘스타주사25mg,,,,,,,,,
A11AKKKKK0034,리스페달콘스타주사37.5mg,,,,,,,,,
2020042700021,리페리달정0.5mg,,,,,,,,,
2020060100006,리페리달정1mg,,,,,,,,,
2020060100007,리페리달정2mg,,,,,,,,,
2020042700020,리페리달정3mg,,,,,,,,,
2020052100002,브로달정,,,,,,,,,
2022111100001,셀트리온유플라이마펜주40mg/0.4mL,,,,,,,,,
A11AOOOOO1002,소아용에보프림연질캡슐,,,,,,,,,
A11A1380A0076,아달라트연질캡슐5mg,아달라트연질캡슐,I002549,자몽주스 주의 자몽주스 주의,,자몽 ,,,,자몽
A11ABBBBB0531,아달라트오로스정30,아달라트오로스정,I002549,자몽주스 주의 자몽주스 주의,,자몽 ,,,,자몽
A11ABBBBB0532,아달라트오로스정60,,,,,,,,,
2023010400003,아달로체펜주40mg/0.4mL,,,,,,,,,
2017092100002,아달로체프리필드시린지주40mg,,,,,,,,,
2023010400004,아달로체프리필드시린지주40mg/0.4mL,,,,,,,,,
2020070600005,아달로체프리필드펜주40mg,,,,,,,,,
2013052800008,아모시달듀오시럽(7:1),,,,,,,,,
2014050700034,아모시달정375mg,,,,,,,,,
2014050700033,아모시달정625mg,,,,,,,,,
2015120100018,아스트로달캡슐100mg,,,,,,,,,
2015120100017,아스트로달캡슐20mg,,,,,,,,,
A11ABBBBB0113,에보프림연질캡슐,,,,,,,,,
2021101800006,유플라이마펜주40mg/0.4mL,,,,,,,,,
2022061600009,유플라이마펜주80mg/0.8mL,,,,,,,,,
2021101800005,유플라이마프리필드시린지주40mg/0.4mL,,,,,,,,,
2022061600008,유플라이마프리필드시린지주80mg/0.8mL,,,,,,,,,
2017052900007,이달비정20mg,,,,,,,,,
2017052900009,이달비정40mg,,,,,,,,,
2017052900008,이달비정80mg,,,,,,,,,
2018080700009,이달비클로정40/12.5mg,,,,,,,,,
2018080700010,이달비클로정40/25mg,,,,,,,,,
2009071504274,케로달캡슐(수출용),,,,,,,,,
A11A2340A0184,키신달정(수출용),,,,,,,,,
A11ADDDDD0454,테모달캡슐100mg,,,,,,,,,
A11ADDDDD0455,테모달캡슐20mg,,,,,,,,,
A11ADDDDD0456,테모달캡슐250mg,,,,,,,,,
A11ADDDDD0457,테모달캡슐5mg,,,,,,,,,
2009071503188,패밀리케어헤모로이달쿨링겔(수출용),,,,,,,,,
2014022500005,푸레파레숀에이치헤모로이달크림(수출용),,,,,,,,,
A11ACCCCC0304,프라그민주0.2mL,,,,,,,,,
A11ACCCCC0314,프라그민주10000IU/mL,,,,,,,,,
2018032600036,프라그민주25000IU/mL(0.3mL),,,,,,,,,
A11ACCCCC0315,프라그민주25000IU/mL(0.4mL),,,,,,,,,
A11ACCCCC0313,프라그민주4mL,,,,,,,,,
2013082200007,프레스토헤모로이달연고(수출용),,,,,,,,,
2017081600002,헤모로이달릴리프크림(수출용),,,,,,,,,
